Name,State FIPS,County FIPS,Household Income,Median Age,Median Male Age,Median Female Age,No Education,High School,GED,Some College,Associates Degree,Bachelors Degree,Professional Degree,Doctoral Degree
"Patillas Municipio, Puerto Rico",72,109,14512.0,43.3,41.9,44.2,324.0,3597.0,172.0,1781.0,1104.0,1534.0,14.0,79.0
"Rincón Municipio, Puerto Rico",72,117,18292.0,44.6,43.8,46.1,564.0,2337.0,254.0,792.0,1160.0,1822.0,13.0,171.0
"Villalba Municipio, Puerto Rico",72,149,19893.0,37.6,35.9,39.2,433.0,4992.0,206.0,1491.0,1296.0,2416.0,178.0,14.0
"Aguas Buenas Municipio, Puerto Rico",72,007,16733.0,40.4,37.7,42.0,744.0,4887.0,502.0,1828.0,1503.0,2512.0,86.0,0.0
"Bayamón Municipio, Puerto Rico",72,021,25528.0,40.4,37.3,43.6,3102.0,27186.0,4842.0,18696.0,13814.0,27598.0,1779.0,1084.0
"Carolina Municipio, Puerto Rico",72,031,29082.0,41.1,38.6,43.3,1671.0,24719.0,4220.0,14485.0,13328.0,25133.0,1644.0,1421.0
"Cayey Municipio, Puerto Rico",72,035,20442.0,41.0,39.8,42.1,1016.0,8361.0,846.0,3115.0,2844.0,5464.0,226.0,335.0
"Monroe County, Alabama",01,099,26036.0,41.7,39.4,43.4,375.0,6257.0,653.0,1673.0,1172.0,1079.0,67.0,121.0
"Lawrence County, Alabama",01,079,43779.0,42.0,40.6,42.8,396.0,7870.0,1676.0,3269.0,1822.0,1671.0,62.0,42.0
"Lee County, Alabama",01,081,47564.0,31.0,29.7,32.4,1109.0,18345.0,4315.0,14958.0,7431.0,18261.0,1694.0,2922.0
"Marion County, Alabama",01,093,35719.0,44.1,42.3,45.3,227.0,6097.0,1466.0,3362.0,1902.0,1784.0,104.0,20.0
"Pickens County, Alabama",01,107,36220.0,42.1,40.3,44.1,339.0,4601.0,783.0,2230.0,1067.0,1248.0,46.0,30.0
"Sumter County, Alabama",01,119,21663.0,35.9,34.5,38.2,39.0,3032.0,244.0,1177.0,581.0,872.0,52.0,41.0
"Jefferson County, Alabama",01,073,49321.0,37.6,35.9,39.0,3722.0,101588.0,18034.0,77553.0,36167.0,86862.0,13878.0,7629.0
"Choctaw County, Alabama",01,023,32122.0,45.8,44.2,47.6,135.0,3212.0,554.0,1204.0,857.0,745.0,45.0,34.0
"Franklin County, Alabama",01,059,39501.0,37.7,35.3,40.7,688.0,6361.0,1406.0,2623.0,1557.0,1722.0,142.0,126.0
"Marengo County, Alabama",01,091,32255.0,42.1,39.8,43.2,249.0,4881.0,494.0,1930.0,1084.0,1315.0,83.0,80.0
"Russell County, Alabama",01,113,38988.0,35.3,33.7,37.4,397.0,10369.0,2167.0,6774.0,3434.0,4092.0,251.0,181.0
"Cherokee County, Alabama",01,019,40041.0,46.1,45.4,46.5,312.0,5942.0,1237.0,2719.0,1502.0,1237.0,280.0,117.0
"Covington County, Alabama",01,039,39467.0,43.4,41.6,45.1,263.0,7680.0,1717.0,3803.0,2557.0,2740.0,265.0,66.0
"Crenshaw County, Alabama",01,041,38937.0,41.4,40.1,43.6,218.0,3074.0,551.0,1282.0,603.0,1143.0,21.0,21.0
"Dallas County, Alabama",01,047,30065.0,39.3,37.0,40.3,364.0,8382.0,1440.0,4370.0,2482.0,2181.0,252.0,101.0
"Lauderdale County, Alabama",01,077,44888.0,41.5,39.7,43.1,738.0,18456.0,3813.0,10031.0,3986.0,8710.0,667.0,757.0
"Lowndes County, Alabama",01,085,29785.0,40.7,39.0,42.6,58.0,2243.0,306.0,1085.0,536.0,671.0,33.0,21.0
"Macon County, Alabama",01,087,32308.0,38.0,35.9,39.6,150.0,3205.0,763.0,2353.0,713.0,1332.0,165.0,168.0
"Limestone County, Alabama",01,083,52831.0,39.1,38.1,40.5,774.0,15001.0,4352.0,9238.0,4831.0,10410.0,553.0,446.0
